Zeitraum.ab	T.WZ.W1	rH.WZ.W1	CO2.WZ.W1	T.WZ.W2	rH.WZ.W2	CO2.WZ.W2
1	1.10.11 00:00	21.6	55.3	918	21.4	50.6	639
2	1.10.11 00:05	21.5	55.4	913	22.3	50.9	694
3	1.10.11 00:10	22.1	55.8	925	23	51	788
4	1.10.11 00:15	21.1	55.7	928	21.3	50.6	703
5	1.10.11 00:20	21.9	55.2	921	21.7	50.7	634
6	1.10.11 00:25	22	55.4	916	22.7	50.8	607
7	1.10.11 00:30	22.6	55.4	920	22.6	51.8	637
8	1.10.11 00:35	21.7	55.7	929	22.7	50.8	634
9	1.10.11 00:40	22.1	55.5	917	22.2	50.4	574
10	1.10.11 00:45	21.3	55.7	929	22	50.7	708
11	1.10.11 00:50	22.2	55.5	924	22.6	51.8	624
12	1.10.11 00:55	22.8	55.7	928	22.8	50.6	598
